doi,figure_number
http://dx.doi.org/10.1039/C1CE05539A,1
http://dx.doi.org/10.1039/C3TA15439D,1
http://dx.doi.org/10.1039/C8RA04081H,2
http://dx.doi.org/10.1039/C4RA05092D,3
http://dx.doi.org/10.1039/C4CC02724H,2
http://dx.doi.org/10.1039/C2JM34580C,3
http://dx.doi.org/10.1039/C3RA40414E,2
http://dx.doi.org/10.1039/C5RA03776J,1
http://dx.doi.org/10.1039/C1JM12414E,2
http://dx.doi.org/10.1039/C4NJ00443D,6
http://dx.doi.org/10.1039/C3CE41423J,4
http://dx.doi.org/10.1039/C1JM11840D,5
http://dx.doi.org/10.1039/C0CE00070A,10
http://dx.doi.org/10.1039/C6CE01737A,6
http://dx.doi.org/10.1039/C4RA00037D,2
http://dx.doi.org/10.1039/C6PP00022C,3
http://dx.doi.org/10.1039/C4DT01788A,5
http://dx.doi.org/10.1039/C6RA08801E,2
http://dx.doi.org/10.1039/C2CS35182J,5
http://dx.doi.org/10.1039/C3TB21013H,4
http://dx.doi.org/10.1039/B715679K,10
http://dx.doi.org/10.1039/C1JM10983A,2
http://dx.doi.org/10.1039/C1JM15227K,2
